DL/AL-030,"Germany (Alpine)","Allgäuer Alpen",Hochvogel,2592,8504,10.43669,47.38036,10.43669,47.38036,10,3,01/03/2004,31/12/2099,4,12/09/2018,DD1LD/P
DL/AL-031,"Germany (Alpine)","Allgäuer Alpen",Fuchskarspitze,2314,7592,10.429256,47.391041,10.42926,47.39104,10,3,01/03/2004,31/12/2099,1,16/09/2023,DB2YI/P
DL/AL-032,"Germany (Alpine)","Allgäuer Alpen",Kesselspitze,2284,7493,10.4336,47.4,10.43360,47.40000,10,3,01/03/2004,31/12/2008,0,,
DL/AL-033,"Germany (Alpine)","Allgäuer Alpen",Glasfelderkopf,2270,7448,10.431639,47.40289,10.43164,47.40289,10,3,01/03/2004,31/12/2024,1,03/06/2018,DD1LD/P
DL/AL-034,"Germany (Alpine)","Allgäuer Alpen",Laerchwand,2187,7175,10.4372,47.4067,10.43720,47.40670,8,3,01/03/2004,31/12/2008,0,,
DL/AL-035,"Germany (Alpine)","Allgäuer Alpen",Sattelkoepfe,2097,6880,10.4389,47.4156,10.43890,47.41560,8,3,01/03/2004,31/12/2008,0,,
DL/AL-036,"Germany (Alpine)","Allgäuer Alpen",Schaenzlekopf,2070,6791,10.452605,47.417817,10.45261,47.41782,8,3,01/03/2004,31/12/2099,1,03/06/2018,DD1LD/P
DL/AL-037,"Germany (Alpine)","Allgäuer Alpen",Schaenzlespitze,2051,6729,10.4567,47.4225,10.45670,47.42250,8,3,01/03/2004,31/12/2008,0,,
DL/AL-038,"Germany (Alpine)","Allgäuer Alpen",Lahnerkopf,2121,6959,10.46279,47.42917,10.46279,47.42917,8,3,01/03/2004,31/12/2024,1,26/05/2018,DD1LD/P
DL/AL-039,"Germany (Alpine)","Allgäuer Alpen",Kastenkopf,2129,6985,10.4711,47.4319,10.47110,47.43190,8,3,01/03/2004,31/12/2008,0,,
DL/AL-040,"Germany (Alpine)","Allgäuer Alpen",Kaelbelespitze,2135,7005,10.475321,47.431548,10.47532,47.43155,8,3,01/03/2004,31/12/2099,1,26/05/2018,DD1LD/P
DL/AL-041,"Germany (Alpine)","Allgäuer Alpen",Kirchendach,2013,6604,10.4739,47.4353,10.47390,47.43530,8,3,01/03/2004,31/12/2008,0,,
DL/AL-042,"Germany (Alpine)","Allgäuer Alpen",Aelpelekopf,2023,6637,10.4547,47.4389,10.45470,47.43890,8,3,01/03/2004,31/12/2008,0,,
DL/AL-043,"Germany (Alpine)","Allgäuer Alpen",Knappenkopf,2071,6795,10.4731,47.4431,10.47310,47.44310,8,3,01/03/2004,31/12/2008,0,,
DL/AL-044,"Germany (Alpine)","Allgäuer Alpen",Kugelhorn,2125,6972,10.470241,47.448524,10.47024,47.44852,8,3,01/03/2004,31/12/2099,2,20/06/2018,DM1LE/P
DL/AL-045,"Germany (Alpine)","Allgäuer Alpen",Rauhhorn,2240,7349,10.4678,47.4583,10.46780,47.45830,10,3,01/03/2004,31/01/2018,5,02/06/2011,DL4CW/P
DL/AL-046,"Germany (Alpine)","Allgäuer Alpen",Ponten,2044,6706,10.45136,47.48571,10.45136,47.48571,8,3,01/03/2004,31/12/2099,12,02/09/2023,DL3TU/P
DL/AL-047,"Germany (Alpine)","Allgäuer Alpen",Bschiesser,1996,6549,10.4406,47.4878,10.44060,47.48780,8,3,01/03/2004,31/01/2018,13,10/07/2014,DL/HB9BIN/P
DL/AL-048,"Germany (Alpine)","Allgäuer Alpen",Iseler,1862,6109,10.4197,47.4994,10.41970,47.49940,8,3,01/03/2004,31/12/2008,6,12/08/2020,DO4LZW
DL/AL-049,"Germany (Alpine)","Allgäuer Alpen",Kuehgundkopf,1907,6257,10.4313,47.50377,10.43130,47.50377,8,3,01/03/2004,31/12/2099,16,02/11/2023,DL3TU/P
